COUNTRY/TERRITORY,Count
China,359
United States,290
Japan,156
United Kingdom,95
South Korea,92
Italy,73
Canada,63
Australia,55
Germany,49
Taiwan,43
Poland,35
Brazil,31
France,30
Hong Kong,29
Denmark,26
Spain,26
India,24
Netherlands,22
Greece,20
Singapore,19
Thailand,19
Iran,11
Sweden,11
Norway,7
Pakistan,7
Russian Federation,7
Malaysia,6
Turkey,6
Mexico,5
Portugal,5
Saudi Arabia,5
Switzerland,5
United Arab Emirates,5
Argentina,4
Belgium,4
Egypt,4
Israel,4
Tunisia,4
Algeria,3
Austria,3
Brunei Darussalam,3
Ireland,3
Viet Nam,3
Finland,2
Indonesia,2
Slovenia,2
Bahrain,1
Belarus,1
Chile,1
Colombia,1
Croatia,1
Hungary,1
Jordan,1
Kazakhstan,1
Malta,1
Morocco,1
Nigeria,1
Panama,1
Paraguay,1
Philippines,1
South Africa,1
Sri Lanka,1
Venezuela,1
Undefined,35
