SOURCE TITLE,Count
Journal Of Power Sources,172
Ecs Transactions,170
International Journal Of Hydrogen Energy,118
Journal Of The Electrochemical Society,54
Electrochimica Acta,36
Applied Energy,29
Solid State Ionics,25
Energy Conversion And Management,24
Fuel Cells,17
Journal Of Materials Chemistry A,17
Journal Of Fuel Cell Science And Technology,16
Energy And Fuels,15
Electrochemistry Communications,14
ACS National Meeting Book Of Abstracts,13
Energy,13
International Journal Of Energy Research,13
Applied Catalysis B Environmental,11
Journal Of Solid State Electrochemistry,11
Chemical Engineering Journal,9
Electrochemical And Solid State Letters,9
ACS Applied Materials And Interfaces,8
Ceramic Engineering And Science Proceedings,8
Energy And Environmental Science,8
Fuel,8
Energy Technology,7
Industrial And Engineering Chemistry Research,7
Journal Of Alloys And Compounds,7
Catalysis Today,6
Environmental Science And Technology,6
Applied Catalysis A General,5
Applied Thermal Engineering,5
Ceramics International,5
Chemical Engineering Science,5
Electrochemistry,5
Ionics,5
Journal Of Applied Electrochemistry,5
Journal Of Co2 Utilization,5
Journal Of Physical Chemistry C,5
Ranliao Huaxue Xuebao Journal Of Fuel Chemistry And Technology,5
Rsc Advances,5
VDI Berichte,5
ACS Sustainable Chemistry And Engineering,4
Advanced Materials Research,4
Biomass And Bioenergy,4
Catalysis Communications,4
Catalysis Letters,4
Fuel Cells Bulletin,4
International Journal Of Electrochemical Science,4
Journal Of Catalysis,4
Journal Of Electroanalytical Chemistry,4
Journal Of Materials Chemistry,4
Journal Of The Korean Ceramic Society,4
Proceedings Of The ASME Turbo Expo,4
Renewable And Sustainable Energy Reviews,4
Renewable Energy,4
Wuji Cailiao Xuebao Journal Of Inorganic Materials,4
ACS Catalysis,3
Aiche Journal,3
Applied Surface Science,3
Chemical Engineering Transactions,3
Chemie Ingenieur Technik,3
Energy Procedia,3
Fuel Cell,3
Fuel Processing Technology,3
International Journal Of Greenhouse Gas Control,3
Journal Of Electrochemical Science And Engineering,3
Journal Of Engineering For Gas Turbines And Power,3
Journal Of Membrane Science,3
Journal Of New Materials For Electrochemical Systems,3
Key Engineering Materials,3
Kuei Suan Jen Hsueh Pao Journal Of The Chinese Ceramic Society,3
Nature,3
Scientific Reports,3
Sustainable Energy And Fuels,3
Wuli Huaxue Xuebao Acta Physico Chimica Sinica,3
Zhongguo Dianji Gongcheng Xuebao Proceedings Of The Chinese Society Of Electrical Engineering,3
ACS Applied Energy Materials,2
Advanced Energy Materials,2
Advanced Functional Materials,2
Bioresource Technology,2
Cailiao Daobao Materials Reports,2
Carbon,2
Catalysis Science And Technology,2
Chemelectrochem,2
Chemical Reviews,2
Chemsuschem,2
Cuihua Xuebao Chinese Journal Of Catalysis,2
E3s Web Of Conferences,2
Electrocatalysis,2
Energies,2
Energy Science And Engineering,2
Frontiers In Energy Research,2
Frontiers In Microbiology,2
Gao Xiao Hua Xue Gong Cheng Xue Bao Journal Of Chemical Engineering Of Chinese Universities,2
Huagong Xuebao Ciesc Journal,2
Japanese Journal Of Applied Physics,2
Joule,2
Journal Of Applied Polymer Science,2
Journal Of Chemical Engineering Of Japan,2
Journal Of Cleaner Production,2
Journal Of Materials Science,2
Journal Of Sol Gel Science And Technology,2
Journal Of Thermal Analysis And Calorimetry,2
Korean Journal Of Chemical Engineering,2
Materials,2
Materials For Renewable And Sustainable Energy,2
Nano Energy,2
Physical Chemistry Chemical Physics,2
Proceedings Of The Combustion Institute,2
Proceedings Of The Institution Of Mechanical Engineers Part C Journal Of Mechanical Engineering Science,2
Processes,2
Progress In Chemistry,2
Progress In Energy And Combustion Science,2
Qinghua Daxue Xuebao Journal Of Tsinghua University,2
Scripta Materialia,2
Solid State Phenomena,2
Studies In Surface Science And Catalysis,2
TMS Annual Meeting,2
Transactions Of The Korean Society Of Mechanical Engineers B,2
Wit Transactions On Ecology And The Environment,2
Zeitschrift Fur Physikalische Chemie,2
Zhongguo Xitu Xuebao Journal Of The Chinese Rare Earth Society,2
ACS Applied Nano Materials,1
